,Year,Region,Country,Yields,Prec,Tmean,Tmax,Tmin,SPEI,FertApp,IrrRate,CO2,FACE_dummy,log_Yields,log_CO2,log_Prec,log_Tmean,log_Tmax,PDO,TAG,WPWP,C1,C2,C3,C4,C5,C6,C7,C8,DCV,Trend,Sq_Trend,Asia,EAsia,SEAsia,SAsia,WAsia,CAsia
6,1961,SAsia,Afghanistan,15190,220.54,17.33,24.49,9.65,7.20728,0.081510842,6.3,317.64,0,9.628392596,5.760918666,5.396079084,2.852439104,3.198264871,0,1,0,0,0,0,0,0,1,0,0,6,1,1,1,0,0,1,0,0
33,1962,SAsia,Afghanistan,15190,179.41,17.22,24.35,9.43,9.19405,0.087542415,6.3,318.45,0,9.628392596,5.763465477,5.189673689,2.846071499,3.19253185,0,1,1,0,0,1,0,0,0,0,0,3,2,4,1,0,0,1,0,0
60,1963,SAsia,Afghanistan,15190,213.39,17.91,25.03,10.16,4.78841,0.0936385,6.3,318.99,0,9.628392596,5.765159754,5.363121477,2.885359216,3.220075105,1,0,0,0,0,0,0,1,0,0,0,5,3,9,1,0,0,1,0,0
82,1964,SAsia,Afghanistan,17273,200.36,16.86,23.96,9.19,2.86134,0.09973736,6.3,319.62,0,9.756899868,5.76713279,5.300115748,2.824943953,3.176385773,0,1,1,0,0,1,0,0,0,0,0,3,4,16,1,0,0,1,0,0
108,1965,SAsia,Afghanistan,17273,203.53,16.96,23.87,9.37,2.8163,0.105839244,6.3,320.04,0,9.756899868,5.768445988,5.315813414,2.83085763,3.17262244,1,0,0,0,0,0,0,1,0,0,0,5,5,25,1,0,0,1,0,0
134,1966,SAsia,Afghanistan,15180,199.9,17.36,24.1,9.94,-5.33396,0.14006831,6.3,321.38,0,9.627734051,5.772624224,5.297817242,2.854168709,3.18221184,0,1,0,0,0,0,0,0,1,0,0,6,6,36,1,0,0,1,0,0
162,1967,SAsia,Afghanistan,19223,227.31,16.8,23.6,9.35,1.65281,0.174369366,6.3,322.16,0,9.863862758,5.775048317,5.426314725,2.821378886,3.161246712,0,1,0,0,0,0,0,0,1,0,0,6,7,49,1,0,0,1,0,0
185,1968,SAsia,Afghanistan,19515,155.62,16.91,23.86,9.42,3.77779,0.208619331,6.3,323.04,0,9.87893868,5.777776155,5.047417138,2.827905163,3.172203417,1,0,0,0,0,0,0,1,0,0,0,5,8,64,1,0,0,1,0,0
209,1969,SAsia,Afghanistan,19757,209.76,16.88,23.4,9.75,-4.04824,0.242941284,6.3,324.62,0,9.891263138,5.782655267,5.34596402,2.826129489,3.152736022,0,1,1,0,0,1,0,0,0,0,0,3,9,81,1,0,0,1,0,0
232,1970,SAsia,Afghanistan,18119,129.26,17.81,25.07,9.98,2.98145,0.277273356,6.3,325.68,0,9.80471639,5.785915304,4.86182588,2.879760097,3.221671912,0,1,1,0,0,1,0,0,0,0,0,3,10,100,1,0,0,1,0,0
256,1971,SAsia,Afghanistan,17500,115.34,17.84,25.26,9.84,7.76535,0.311554109,6.3,326.32,0,9.76995616,5.787878495,4.747884288,2.881443127,3.229222117,0,0,0,0,0,0,0,0,0,0,1,0,11,121,1,0,0,1,0,0
283,1972,SAsia,Afghanistan,19048,224.16,15.77,22.72,8.23,1.44741,0.345869984,6.3,327.45,0,9.854717388,5.791335372,5.412360083,2.758109401,3.123245594,0,0,0,0,0,0,0,0,0,0,1,0,12,144,1,0,0,1,0,0
307,1973,SAsia,Afghanistan,20000,199.85,17.6,24.7,9.96,-3.36806,0.380128652,6.3,329.68,0,9.903487553,5.798122487,5.297567085,2.867898902,3.206803244,0,0,1,0,0,0,0,0,0,1,0,7,13,169,1,0,0,1,0,0
335,1974,SAsia,Afghanistan,20000,151.81,16.84,23.94,9.2,1.76004,0.414453043,6.3,330.18,0,9.903487553,5.79963796,5.022629739,2.823757009,3.1755507,0,0,0,0,0,0,0,0,0,0,1,0,14,196,1,0,0,1,0,0
358,1975,SAsia,Afghanistan,20714,165.15,17.02,24.1,9.39,4.39872,0.448720291,6.4,331.11,0,9.938565079,5.802450646,5.106854152,2.834389123,3.18221184,0,0,0,0,0,0,0,0,0,0,1,0,15,225,1,0,0,1,0,0
383,1976,SAsia,Afghanistan,21333,226.79,16.68,23.49,9.23,11.24756,0.503304777,6.4,332.04,0,9.968010449,5.805255444,5.424024479,2.814210397,3.156574799,0,1,0,0,0,0,0,0,1,0,0,6,16,256,1,0,0,1,0,0
409,1977,SAsia,Afghanistan,19048,106.04,18.25,25.44,10.46,6.25393,0.557894105,6.5,333.83,0,9.854717388,5.810631881,4.663816381,2.90416508,3.236322738,1,0,0,0,0,0,0,1,0,0,0,5,17,289,1,0,0,1,0,0
437,1978,SAsia,Afghanistan,20381,145.36,17.71,24.82,10.05,8.18824,0.612487921,6.5,335.4,0,9.922358373,5.815323849,4.979213424,2.874129452,3.21164978,1,1,0,0,1,0,0,0,0,0,0,2,18,324,1,0,0,1,0,0
460,1979,SAsia,Afghanistan,21311,197.34,17.32,24.07,9.77,4.07803,0.667086529,6.5,336.84,0,9.96697865,5.81960804,5.284928129,2.851861903,3.180966252,1,1,0,0,1,0,0,0,0,0,0,2,19,361,1,0,0,1,0,0
487,1980,SAsia,Afghanistan,21728,202.19,17.83,24.74,10.3,-2.36917,0.721689833,6.6,338.75,0,9.98635703,5.825262372,5.309207849,2.880882432,3.208421367,1,1,1,1,0,0,0,0,0,0,0,1,20,400,1,0,0,1,0,0
511,1981,SAsia,Afghanistan,22414,199.9,17.57,24.28,10.34,-1.58162,0.776297901,6.6,340.11,0,10.01744104,5.829269095,5.297817242,2.866192902,3.189652966,1,1,1,1,0,0,0,0,0,0,0,1,21,441,1,0,0,1,0,0
537,1982,SAsia,Afghanistan,21994,210.79,16.96,23.79,9.68,-0.08004,0.830910332,6.7,341.45,0,9.998524968,5.833201255,5.350862377,2.83085763,3.169265324,1,1,0,0,1,0,0,0,0,0,0,2,22,484,1,0,0,1,0,0
561,1983,SAsia,Afghanistan,22581,220.24,17.68,24.84,10.31,0.84228,0.885527559,6.7,343.05,0,10.02486412,5.837876209,5.394717861,2.872434057,3.212455257,1,1,0,0,1,0,0,0,0,0,0,2,23,529,1,0,0,1,0,0
586,1984,SAsia,Afghanistan,22416,139.09,17.55,24.53,10.13,3.26006,0.940149663,6.8,344.65,0,10.01753027,5.842529409,4.935121206,2.86505395,3.199896858,1,0,0,0,0,0,0,1,0,0,0,5,24,576,1,0,0,1,0,0
608,1985,SAsia,Afghanistan,22482,108.64,17.81,24.84,10.25,-5.47233,0.994776566,6.8,346.12,0,10.02047027,5.846785536,4.688039664,2.879760097,3.212455257,1,0,0,0,0,0,0,1,0,0,0,5,25,625,1,0,0,1,0,0
